,Does he have health probems ?,Does he have social family problems?,Is there a variation between his real qualifications and its results?,Does he have any difficulties?,Does your child avoid activities that require reading to complete?,he ?it fast/slow while reading ?,"When reading aloud, does your child repeat words, change their order, or mix up similar letters (?\ or ?\? or ?\? or p/b or f/v or k/g/jÉ) without notice?",Does he have trouble reading unknown words?,Does he face difficulty understanding what he read?,Does he reflect numbers? {Ex 81 -> 18},Does he have trouble writing numbers clearly and distinctly from letters?,Does he make misspellings in his homework?,Is he having trouble writing on the line and inside the margins?,Does he have a problem copying?,Does it confuse symbols and/or mathematical operations?,Does he have trouble comparing the relative size of integers and/or fractions?,Does he have difficulties with concepts related to time and/or money?,Is it difficult to understand the statement of calculations and solve it?,Is he having difficulties in calculating? {Facing problems in performing arithmetic operations such as addition and subtraction ...},Is he having trouble maintaining attention for more than 15 minutes?,It takes a long time to complete simple tasks?,Does he have a hard time bearing boredom or strenuous tasks?,TypeTrouble
560,Yeah,No,No,In particular article,Repeatedly / always,Slow,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
561,No,No,Yeah,In particular article,Repeatedly / always,Slow,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Type_dysgraphie
562,No,No,No,In all materials,Sometimes,Average,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dyslexie
563,No,No,No,In particular article,Sometimes,Fast,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Concentration
564,No,No,Yeah,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyscalculie
565,Yeah,Yeah,Yeah,In all materials,Repeatedly / always,Fast,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
566,Yeah,Yeah,No,In all materials,Repeatedly / always,Average,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Type_dysgraphie
567,Yeah,No,No,In particular article,Rarely / never,Fast,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dyscalculie
568,No,No,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
569,No,Yeah,No,In all materials,Sometimes,Average,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
570,No,No,Yeah,In all materials,Rarely / never,Slow,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyscalculie
571,Yeah,No,Yeah,In particular article,Sometimes,Average,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dyscalculie
572,No,Yeah,No,In all materials,Sometimes,Average,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
573,No,No,Yeah,In particular article,Rarely / never,Average,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Type_dyslexie
574,No,Yeah,No,In all materials,Sometimes,Slow,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Type_dysgraphie
575,No,Yeah,Yeah,In all materials,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
576,No,Yeah,Yeah,In particular article,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
577,Yeah,No,Yeah,In particular article,Sometimes,Fast,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Type_dysgraphie
578,Yeah,Yeah,Yeah,In all materials,Repeatedly / always,Fast,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dyslexie
579,No,Yeah,Yeah,In particular article,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
580,No,Yeah,No,In particular article,Rarely / never,Fast,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Type_dyscalculie
581,No,No,No,In particular article,Repeatedly / always,Slow,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dyslexie
582,No,Yeah,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyslexie
583,No,No,Yeah,In particular article,Rarely / never,Slow,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Type_dyslexie
584,Yeah,No,No,In particular article,Repeatedly / always,Average,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dysgraphie
585,No,Yeah,No,In all materials,Sometimes,Average,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Type_dyslexie
586,No,No,Yeah,In all materials,Sometimes,Fast,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Type_dysgraphie
587,Yeah,Yeah,Yeah,In particular article,Sometimes,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Type_dyscalculie
588,No,Yeah,Yeah,In particular article,Sometimes,Fast,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Type_dysgraphie
589,Yeah,Yeah,No,In all materials,Rarely / never,Average,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Concentration
590,Yeah,Yeah,Yeah,In particular article,Rarely / never,Slow,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
591,No,No,No,In particular article,Repeatedly / always,Fast,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dyslexie
592,Yeah,No,Yeah,In all materials,Rarely / never,Average,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
593,Yeah,Yeah,No,In particular article,Rarely / never,Slow,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
594,No,Yeah,Yeah,In particular article,Rarely / never,Fast,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
595,No,Yeah,Yeah,In all materials,Rarely / never,Fast,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Type_dyscalculie
596,No,No,Yeah,In particular article,Sometimes,Slow,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Type_dyscalculie
597,No,Yeah,No,In particular article,Rarely / never,Fast,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyscalculie
598,No,No,Yeah,In all materials,Repeatedly / always,Slow,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
599,Yeah,Yeah,Yeah,In particular article,Sometimes,Slow,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Concentration
600,No,Yeah,Yeah,In particular article,Sometimes,Slow,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
601,Yeah,Yeah,Yeah,In all materials,Sometimes,Average,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
602,Yeah,No,Yeah,In all materials,Sometimes,Average,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Concentration
603,No,No,Yeah,In particular article,Rarely / never,Average,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Concentration
604,No,No,Yeah,In all materials,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
605,No,Yeah,Yeah,In particular article,Repeatedly / always,Average,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Type_dyscalculie
606,Yeah,No,No,In all materials,Repeatedly / always,Fast,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Type_dysgraphie
607,No,Yeah,Yeah,In particular article,Sometimes,Average,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Type_dyslexie
608,Yeah,Yeah,Yeah,In all materials,Repeatedly / always,Fast,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Concentration
609,Yeah,Yeah,No,In particular article,Sometimes,Average,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dysgraphie
610,Yeah,No,No,In particular article,Sometimes,Average,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Type_dysgraphie
611,No,Yeah,Yeah,In particular article,Sometimes,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Type_dyslexie
612,No,No,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Type_dyscalculie
613,Yeah,Yeah,Yeah,In particular article,Sometimes,Slow,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Type_dysgraphie
614,Yeah,Yeah,Yeah,In particular article,Sometimes,Fast,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
615,Yeah,No,No,In all materials,Repeatedly / always,Average,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Type_dyslexie
616,Yeah,Yeah,No,In particular article,Rarely / never,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dyscalculie
